BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201104,26,2025,201104,26,2032,49622,293875,LOUISIANA,22,2011,April,Tornado,C,13,BIENVILLE,SHV,26-APR-11 20:25:00,CST-6,26-APR-11 20:32:00,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,5.27,100.0,,,,,1.09,SW,UNION,4.23,NNE,UNION,32.3701,-92.8346,32.4328,-92.7832,"A very volatile atmosphere developed during the late afternoon...evening and overnight hours of April 26th across the Four State Region. An area of low pressure moved from the Texas Hill Country into Northeast Texas during the afternoon. Meanwhile, a warm front had moved northward from central Louisiana and was oriented west to east near the Arkansas/Louisiana state line. A dry line had moved just east of the I-35 corridor of North Central Texas and a strong cold front trailed the dry line. Very strong speed and directional shear was noted in the low and mid levels of the atmosphere such that supercells developed. Many of these produced tornadoes across the region. Other storms produced strong straight line wind gusts with bowing segments and large hail.",Multiple trees were snapped and uprooted along a 5.5 mile track. A tornado touched down 7 miles west northwest of Quitman in Bienville Parish. The tornado continued northeast crossing Hwy. 147 and ending 8 miles southwest of Grambling near the Bienville/Jackson Parish line. Winds were estimated at 85-95 mph.,CSV
201103,9,734,201103,9,740,48075,280617,MISSISSIPPI,28,2011,March,Tornado,C,47,HARRISON,LIX,09-MAR-11 07:34:00,CST-6,09-MAR-11 07:40:00,0,0,0,0,20.00K,0.00K,NWS Storm Survey,,,,,EF1,1.0,30.0,,,,,6.0,N,LONG BEACH,6.0,N,LONG BEACH,30.4368,-89.15,30.4368,-89.15,Thunderstorms in advance of a strong cold front produced numerous reports of flooding and severe weather on the afternoon of the 8th through the morning of the 9th.,"A tornado touched down along Landon Road. One home had a portion of roof removed, as well as a storage building and awning destroyed. Several trees were blown down and large branches snapped.",CSV
201104,4,828,201104,4,829,48385,282678,ARKANSAS,5,2011,April,Tornado,C,27,COLUMBIA,SHV,04-APR-11 08:28:00,CST-6,04-APR-11 08:29:00,0,0,0,0,75.00K,0.00K,NWS Storm Survey,,,,,EF1,0.89,75.0,,,,,2.27,NNW,BOX SPGS,1.94,N,BOX SPGS,33.281,-93.383,33.278,-93.368,"A strong upper level short wave move from west to east across the Central Plains states of the U.S. driving a cold front southeast into the Four State Region. Strong to severe thunderstorms formed in the unstable air mass ahead of the cold front. The front and at least 3 lines of thunderstorms moved through the Four State Region from west to east during the day. Strong low level shear in the atmosphere allowed some thunderstorms to rotate, producing tornadoes with damaging straight line winds producing downbursts.","The National Weather Service conducted a storm survey in Columbia County Arkansas and concluded that storm damage was the result of an EF1 tornado. The tornado touched down at around 9:28 AM, south of Waldo AR along county road 153 ripping off tin from a small barn.  A home east of CR 153 sustained minor roof damage and the adjacent garage sustained minor roof damage and some structural damage.  The tornado continued east southeast crossing CR 148 where several trees were snapped and uprooted.  A home sustained minor roof damage and a small shed had half of its roof torn off.  Further east���several trees were snapped and uprooted in a field and a abandoned home had portions of its roof torn off and thrown southeast. The tornado lifted on the south side of cr 148.  Maximum winds are estimated at 85-90 mph.",CSV
201104,27,1328,201104,27,1329,50307,303012,MISSISSIPPI,28,2011,April,Tornado,C,145,UNION,MEG,27-APR-11 13:28:00,CST-6,27-APR-11 13:29:00,0,0,0,0,10.00K,0.00K,Emergency Manager,,,,,EF0,0.4,25.0,,,,,1.47,N,PLEASANT RIDGE,1.7,N,PLEASANT RIDGE,34.5912,-88.8323,34.5944,-88.8265,"A stationary front remained draped across Southern Missouri into Western Kentucky from April 24th, 2011 into April 25th, 2011. A very warm and unstable atmosphere was in place across the Mid-South ahead of the front. A low pressure system developed along the front and interacted with the unstable environment which helped produce several rounds of severe storms into the evening of April 26th, 2011. As a result of the severe storms, the front sank south during the early morning hours of April 27th, 2011 as a secondary low pressure system developed along the front. As a result, another round of severe storms fired during the afternoon hours ahead of the low pressure center. Additional severe storms fired along the trailing cold front. Tornadoes, large hail, damaging winds, flash flooding occurred as a result of the severe storms.",A weak tornado briefly touched down on Highway 370 near Locum and moved northeast. Numerous trees were knocked down. The tornado lifted near County Road 235.,CSV
201104,4,912,201104,4,913,48385,282679,ARKANSAS,5,2011,April,Tornado,C,139,UNION,SHV,04-APR-11 09:12:00,CST-6,04-APR-11 09:13:00,0,0,0,0,150.00K,0.00K,NWS Storm Survey,,,,,EF1,1.28,100.0,,,,,0.32,ESE,NORPHLET,1.56,E,NORPHLET,33.318,-92.665,33.32,-92.643,"A strong upper level short wave move from west to east across the Central Plains states of the U.S. driving a cold front southeast into the Four State Region. Strong to severe thunderstorms formed in the unstable air mass ahead of the cold front. The front and at least 3 lines of thunderstorms moved through the Four State Region from west to east during the day. Strong low level shear in the atmosphere allowed some thunderstorms to rotate, producing tornadoes with damaging straight line winds producing downbursts.","The National Weather Service conducted a storm survey in Union County Arkansas and concluded that storm damage was the result of an EF1 tornado. The tornado touched down at around 10:12 AM, in the town of Norphlet.  An old gas station cover was blown down and several trees were snapped along Black street eastward across Hayes St.  Some minor roof damage occurred to homes along Hayes street.  The tornado continued eastward crossing N Tate Road where a carport collapsed on a vehicle and several trees were snapped or uprooted.  The tornado continued along the south side of Tate Road snapping trees and peeling shingles from several homes.  The tornado lifted east of a pasture where several hardwood and softwood trees were snapped or uprooted. A small metal outbuilding suffered structural damage as well. Maximum winds are estimated at 90-100 mph.",CSV
201106,23,1750,201106,23,1800,54525,327475,IDAHO,16,2011,June,Tornado,C,11,BINGHAM,PIH,23-JUN-11 17:50:00,MST-7,23-JUN-11 18:00:00,0,0,0,0,7.00K,0.00K,NWS Storm Survey,,,,,EF0,0.5,50.0,,,,,1.5,SW,MORELAND,1.0,SW,MORELAND,43.2047,-112.4711,43.2098,-112.464,An EF0 tornado hit the city of Moreland along Pioneer Road between 800 and 900 West between 6:50 and 7:00 pm MDT On June 23rd.   four homes received damage.  A shed at one home was destroyed and a garage to the back of another home was destroyed.  A third home had wood sidign removed and damaged trees.  A camper was flipped over and was on it's top at a 4th home.   The Jensen Grove Park near Blackfoot had 19 trees either snapped or uprooted by the storm.,An EF0 tornado hit the city of Moreland along Pioneer Road between 800 and 900 West between 6:50 and 7:00 pm MDT On June 23rd.   four homes received damage.  A shed at one home was destroyed and a garage to the back of another home was destroyed.  A third home had wood sidign removed and damaged trees.  A camper was flipped over and was on it's top at a 4th home.   A storm survey was done and it was determined to be an EF0 tornado.  The Jensen Grove Park near Blackfoot had 19 trees either snapped or uprooted by the storm.,CSV
201104,27,1350,201104,27,1356,50307,303232,MISSISSIPPI,28,2011,April,Tornado,C,3,ALCORN,MEG,27-APR-11 13:50:00,CST-6,27-APR-11 13:56:00,0,0,0,0,100.00K,0.00K,NWS Storm Survey,,,,,EF0,2.32,50.0,,,,,0.87,E,RIENZI,1.98,SSE,SEARCY TOWN,34.7709,-88.5147,34.7941,-88.4851,"A stationary front remained draped across Southern Missouri into Western Kentucky from April 24th, 2011 into April 25th, 2011. A very warm and unstable atmosphere was in place across the Mid-South ahead of the front. A low pressure system developed along the front and interacted with the unstable environment which helped produce several rounds of severe storms into the evening of April 26th, 2011. As a result of the severe storms, the front sank south during the early morning hours of April 27th, 2011 as a secondary low pressure system developed along the front. As a result, another round of severe storms fired during the afternoon hours ahead of the low pressure center. Additional severe storms fired along the trailing cold front. Tornadoes, large hail, damaging winds, flash flooding occurred as a result of the severe storms.","A weak tornado briefly touched down along Highway 356, east of Rienzi, and moved northeast. Minor damage occurred to a few homes. Several trees were knocked down as well. The tornado lifted near County Road 430.",CSV
201104,26,1735,201104,26,1802,50307,300685,MISSISSIPPI,28,2011,April,Tornado,C,27,COAHOMA,MEG,26-APR-11 17:35:00,CST-6,26-APR-11 18:02:00,0,0,0,0,70.00K,0.00K,NWS Storm Survey,,,,,EF0,24.51,200.0,,,,,5.96,NW,HILLHOUSE,0.26,SSW,COAHOMA,34.1837,-90.8902,34.3668,-90.5225,"A stationary front remained draped across Southern Missouri into Western Kentucky from April 24th, 2011 into April 25th, 2011. A very warm and unstable atmosphere was in place across the Mid-South ahead of the front. A low pressure system developed along the front and interacted with the unstable environment which helped produce several rounds of severe storms into the evening of April 26th, 2011. As a result of the severe storms, the front sank south during the early morning hours of April 27th, 2011 as a secondary low pressure system developed along the front. As a result, another round of severe storms fired during the afternoon hours ahead of the low pressure center. Additional severe storms fired along the trailing cold front. Tornadoes, large hail, damaging winds, flash flooding occurred as a result of the severe storms.","A weak tornado traveled northeast out of Phillips County, Arkansas into Coahoma County. The tornado continued northeast toward the city of Coahoma where it eventually lifted. A church sustained roof damage, 3 miles southwest of Coahoma. Numerous trees were either uprooted or snapped. Scattered telephone poles were knocked down. A few road or advertisement signs were damaged as well. A few pivot irrigation systems were also toppled over.",CSV
201104,14,1904,201104,14,1910,48744,305899,OKLAHOMA,40,2011,April,Tornado,C,5,ATOKA,OUN,14-APR-11 19:04:00,CST-6,14-APR-11 19:10:00,0,0,0,0,0.00K,0.00K,Storm Chaser,,,,,EF0,6.0,125.0,TSA,OK,127.0,PUSHMATAHA,6.0,SSW,REDDEN,5.97,SE,REDDEN,34.4298,-95.8903,34.4467,-95.7787,"An upper level trough moved onshore along the west coast on the 13th, and continued east toward the plains. The storm system strengthened as it moved east of the Rocky mountains, eventually becoming a major storm system, with blizzard conditions on the west and north sides of it, and powerful thunderstorms to the south and east. A surface low pressure moved from the Texas panhandle into southern Kansas, with a dry line extending to the south. The dry line moved quickly east before slowing to the east of I-35 in Oklahoma. Dew point temperatures reached the middle 60s east of the dry line, with bone-dry conditions advecting in on the back side of the dry line. The cap that was in place was all but erased by mid afternoon, and thunderstorms quickly developed over eastern Oklahoma. The wind shear in place was more than sufficient for rotating thunderstorms, with most storms become supercells. Very large hail and wind damage was common early in the thunderstorm life cycle. A weak tornado developed northwest of Stroud, with other storms showing signs of rotation by late afternoon. Additional tornadoes developed through the early evening, with a couple of them doing damage. The tornadoes were in addition to the hail up to softball size. By late evening, at least five tornadoes were reported, with one of them rated and EF-3.",A tornado was observed by a storm chaser that developed south-southwest of Redden and moved east-northeast into Pushmataha County (see Storm Data for eastern Oklahoma for the Pushmataha County portion of this tornado.)  This tornado produced no known damage.,CSV
201104,27,1359,201104,27,1402,50307,303242,MISSISSIPPI,28,2011,April,Tornado,C,115,PONTOTOC,MEG,27-APR-11 13:59:00,CST-6,27-APR-11 14:02:00,0,0,0,0,100.00K,0.00K,NWS Storm Survey,,,,,EF0,1.02,75.0,,,,,0.27,W,ENDVILLE,0.78,ENE,ENDVILLE,34.3202,-88.8848,34.3259,-88.8683,"A stationary front remained draped across Southern Missouri into Western Kentucky from April 24th, 2011 into April 25th, 2011. A very warm and unstable atmosphere was in place across the Mid-South ahead of the front. A low pressure system developed along the front and interacted with the unstable environment which helped produce several rounds of severe storms into the evening of April 26th, 2011. As a result of the severe storms, the front sank south during the early morning hours of April 27th, 2011 as a secondary low pressure system developed along the front. As a result, another round of severe storms fired during the afternoon hours ahead of the low pressure center. Additional severe storms fired along the trailing cold front. Tornadoes, large hail, damaging winds, flash flooding occurred as a result of the severe storms.","A weak tornado touched down near Endville Road, just southeast of Endville, and moved northeast. A couple of homes sustained minor damage. Numerous trees were knocked down. The tornado lifted near Martin Road.",CSV
